polarity,polarity value,match,match length (words),coverage (%)
positive,0.45392,college all about trying new things better try living in a country discover,13,65.0
negative,-0.04843,hail canada,2,40.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.11123,great job someone an undergrad degree,6,66.66666666666666
positive,0.44856,usa canada magnificent have hit,5,38.46153846153847
positive,0.8906699999999999,party are be well realise a in fact treaty,9,42.857142857142854
positive,1.22603,ford amp in a competition see who can reduce province cinder ahead but masterful,14,66.66666666666666
positive,1.6104099999999997,looking a fantastic getaway head quaint little town bruce leave,10,55.55555555555556
positive,0.87897,meg stallion be at university chicago wont appreciate same way,10,47.61904761904761
positive,0.20798,best raising switzerland,3,23.076923076923077
negative,-0.51102,bradley bizarre canada error every viewer baffled,7,63.63636363636363
positive,1.5460299999999998,proud say ill be playing baseball at university texas dallas next year so grateful opportunity an,16,69.56521739130434
neutral,0,,0,0.0
neutral,0.0,list concord new jakarta hartford sa,6,42.857142857142854
positive,1.44844,adult saran years totally free dating canada,7,53.84615384615385
positive,0.72095,charged peddling child porn in escaped authorities by crossing canada illegally,11,57.89473684210527
positive,0.17826,man immediate end puppet regime in haiti he specifically out us france canada,13,65.0
negative,-0.31942,breaking lawmaker ho being by regulation authority he m,9,50.0
positive,1.25091,blessed receive an offer oklahoma state university,7,50.0
positive,1.33088,blessed receive first offer ross state university trout card,9,64.28571428571429
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,1.8144,after talking hutch blessed say i received first offer bethel university thanks,12,66.66666666666666
positive,0.7299,press freedom spain,3,25.0
positive,0.62419,after spending years in university graduation month days october will be,11,64.70588235294117
positive,0.6335099999999999,at a white supremacist kid calling me,7,41.17647058823529
negative,-1.0973,pity no score but awful conditions,6,54.54545454545454
positive,0.23736,canada u new zealand soccer nov world cup group stage,10,90.9090909090909
positive,0.04948999999999999,as he canada magnum opus collection made verbatim,8,42.10526315789473
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.23736,canada u new zealand soccer nov world cup group stage,10,90.9090909090909
positive,0.23736,canada u new zealand soccer nov world cup group stage,10,90.9090909090909
positive,0.07838999999999996,so it okay quebec get oil cross other but not,10,45.45454545454545
positive,0.17826,wow australia,2,66.66666666666666
positive,0.0083,en la ms world university ranking de andes,8,47.05882352941176
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.7299,press freedom spain,3,25.0
neutral,0.0,de la sur canada,4,50.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.42978000000000005,us amp canada transformation major part,6,50.0
positive,0.06438999999999999,life veteran patrick riel quebec alone by some,8,50.0
positive,0.58844,health unit handed layoff in windsor cbc news,8,72.72727272727273
neutral,0.0,ko religion par ab,4,19.047619047619047
neutral,0,,0,0.0
positive,0.29832,welcome toronto international film festival be screening f,8,61.53846153846154
positive,1.1865999999999999,mom out arizona bring body back home but he so big travel a much longer time,16,66.66666666666666
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.9227099999999999,are proud be apart globe inaugural report on business ranking top growing,12,57.14285714285714
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
neutral,0.0,canada suede ce des de,5,55.55555555555556
negative,-0.13063,nice but why a country oil reserves import at all are importing,12,57.14285714285714
negative,-1.02306,i see army ill drop all papers once both mo birth certificate hijack as,14,66.66666666666666
positive,0.29832,means human jukebox southern university will be,7,58.333333333333336
positive,0.20798,best raising switzerland,3,23.076923076923077
positive,0.6543200000000001,website stand in comparison can be effectively through an,9,52.94117647058824
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.5925,stephen meat are all about lying ever he blasted out office harper working,13,56.52173913043478
positive,2.40646,extremely thankful blessed receive second offer in writing ottawa university continue,11,68.75
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
negative,-0.81457,further evidence trump no dignity class quit,7,46.666666666666664
positive,0.37553,go joining us at game,5,35.714285714285715
positive,2.13226,abused even made fun university he studied in about a solo pic i am happy an,16,59.25925925925925
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,1.9205199999999998,i need please stop recording shit like afar start actually intervening thanks,12,66.66666666666666
negative,-0.019199999999999995,last eu project final meeting steering committee on tues h,10,62.5
negative,-0.14773000000000003,political correctness a virus at university then through society shutting down,11,57.89473684210527
positive,1.6288399999999998,wish go already most agree on it,7,70.0
positive,1.29345,all play in second conditions are better,7,46.666666666666664
positive,1.80142,also canada number very good need keep quiet tomorrow,9,64.28571428571429
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.93482,quality life netherlands,3,23.076923076923077
neutral,0.0,homecoming up coastal carolina university,5,83.33333333333334
positive,0.7622,glad have head coach mike martin on amp i morning,10,71.42857142857143
positive,0.86852,literally give every a winning lotto max ticket personally build pipeline,11,57.89473684210527
positive,0.04128,i university memphis a single dorm,6,66.66666666666666
positive,0.40661,a wonderful project i never heard sponsor canada,8,61.53846153846154
positive,0.46673,mc university vermont establish partnership study gait impairment in other movement,11,64.70588235294117
neutral,0,,0,0.0
positive,0.14426,found in halloween police say,5,41.66666666666667
negative,-0.11851000000000003,while waiting discover university expansion i built a cluttered dorm room in build,13,72.22222222222221
neutral,0.0,after thanksgiving in canada christmas,5,62.5
positive,0.9269900000000001,response university extremely high handed say th,7,63.63636363636363
positive,0.45431,no so australian an english ear i thought id mistakenly but on,12,70.58823529411765
